label,message,threat_type,intent,source_type,difficulty,template_group,category,anchor_text,url
ham,Family plan. Dinner is planned for Saturday evening at home. Looking forward to your response.,NONE,BENIGN,REAL_PUBLIC_DATA,EASY,base_6b8cce8a1d,pdf_base,,
spam,Special deal for you. Unlock premium access with this one time opportunity. Last chance.,OTHER,MALICIOUS,REAL_PUBLIC_DATA,EASY,base_92ba2c1362,pdf_base,,
spam,"Verify your account today. Your payment failed, update your information right away. No reply is needed, act now. .",OTHER,MALICIOUS,REAL_PUBLIC_DATA,EASY,base_47813bce44,pdf_base,,
ham,Weekly schedule. Can you check this and reply when convenient? Thanks for your help.,NONE,BENIGN,REAL_PUBLIC_DATA,EASY,base_58161f811d,pdf_base,,
ham,Weekly schedule. I completed the task and shared the latest version for review. Please reply when convenient.,NONE,BENIGN,REAL_PUBLIC_DATA,EASY,base_7e6b85622e,pdf_base,,
spam,Verify your account today. We detected unusual activity and need verification immediately. Do not miss this opportunity.,OTHER,MALICIOUS,REAL_PUBLIC_DATA,EASY,base_2fa60f6d8d,pdf_base,,
ham,Project update. Here are the notes for this week and the next steps. Please reply when convenient.,NONE,BENIGN,REAL_PUBLIC_DATA,EASY,base_d1ac38b1ce,pdf_base,,
ham,Homework question. Here are the notes for this week and the next steps. Let me know if anything changes.,NONE,BENIGN,REAL_PUBLIC_DATA,EASY,base_f0fec3f4cb,pdf_base,,
ham,Family plan. Here are the notes for this week and the next steps. I appreciate your time.,NONE,BENIGN,REAL_PUBLIC_DATA,EASY,base_7ec827f283,pdf_base,,
spam,Action required immediately. You have been selected for a special bonus offer. Offer ends very soon.,OTHER,MALICIOUS,REAL_PUBLIC_DATA,EASY,base_9470c82b66,pdf_base,,
ham,Lunch plan. Please confirm your availability for the appointment. I appreciate your time.,NONE,BENIGN,REAL_PUBLIC_DATA,EASY,base_6f0424c4b8,pdf_base,,
spam,"Exclusive bonus inside. This offer expires soon, so take action now. Last chance. .",OTHER,MALICIOUS,REAL_PUBLIC_DATA,EASY,base_1ca9d81a2c,pdf_base,,
spam,Urgent account alert. We detected unusual activity and need verification immediately. Offer ends very soon.,OTHER,MALICIOUS,REAL_PUBLIC_DATA,EASY,base_338c5c4fd5,pdf_base,,
ham,Family plan. Can you check this and reply when convenient? Let me know if anything changes.,NONE,BENIGN,REAL_PUBLIC_DATA,EASY,base_afa2d53328,pdf_base,,
ham,Family plan. The meeting is scheduled for tomorrow afternoon in the office. I appreciate your time.,NONE,BENIGN,REAL_PUBLIC_DATA,EASY,base_4215f80fdb,pdf_base,,
ham,Lunch plan. Here are the notes for this week and the next steps. Looking forward to your response.,NONE,BENIGN,REAL_PUBLIC_DATA,EASY,base_e96015d131,pdf_base,,
ham,Order confirmation. Dinner is planned for Saturday evening at home. Thanks for your help.,NONE,BENIGN,REAL_PUBLIC_DATA,EASY,base_5506bd6a8f,pdf_base,,
ham,Project update. Let us meet after class to discuss the assignment. Thanks for your help.,NONE,BENIGN,REAL_PUBLIC_DATA,EASY,base_966dbadf43,pdf_base,,
spam,Special deal for you. This is a limited time deal and you should act fast. Last chance.,OTHER,MALICIOUS,REAL_PUBLIC_DATA,EASY,base_d3092a0ba4,pdf_base,,
ham,Order confirmation. Please confirm your availability for the appointment. Please reply when convenient.,NONE,BENIGN,REAL_PUBLIC_DATA,EASY,base_3d1852c39c,pdf_base,,
spam,"Free gift waiting. This offer expires soon, so take action now. No reply is needed, act now. .",OTHER,MALICIOUS,REAL_PUBLIC_DATA,EASY,base_978050d4dc,pdf_base,,
ham,Lunch plan. Let us meet after class to discuss the assignment. Please reply when convenient.,NONE,BENIGN,REAL_PUBLIC_DATA,EASY,base_5218940fbf,pdf_base,,
ham,Lunch plan. The order has been confirmed and details are attached below. I appreciate your time.,NONE,BENIGN,REAL_PUBLIC_DATA,EASY,base_2535590091,pdf_base,,
ham,Class notes. Dinner is planned for Saturday evening at home. Thanks for your help.,NONE,BENIGN,REAL_PUBLIC_DATA,EASY,base_a7e0de16f2,pdf_base,,
spam,"Final notice payment needed. This offer expires soon, so take action now. No reply is needed, act now. .",OTHER,MALICIOUS,REAL_PUBLIC_DATA,EASY,base_09c5ed62a4,pdf_base,,
spam,"Verify your account today. This offer expires soon, so take action now. No reply is needed, act now. .",OTHER,MALICIOUS,REAL_PUBLIC_DATA,EASY,base_980cacb8b4,pdf_base,,
spam,"Limited time offer. Unlock premium access with this one time opportunity. No reply is needed, act now. .",OTHER,MALICIOUS,REAL_PUBLIC_DATA,EASY,base_9af1f8807c,pdf_base,,
ham,Homework question. Here are the notes for this week and the next steps. Please reply when convenient.,NONE,BENIGN,REAL_PUBLIC_DATA,EASY,base_f0fec3f4cb,pdf_base,,
spam,"Final notice payment needed. We detected unusual activity and need verification immediately. No reply is needed, act now. .",OTHER,MALICIOUS,REAL_PUBLIC_DATA,EASY,base_2bffd7f708,pdf_base,,
ham,Lunch plan. The order has been confirmed and details are attached below. Please reply when convenient.,NONE,BENIGN,REAL_PUBLIC_DATA,EASY,base_2535590091,pdf_base,,
ham,Homework question. Please review the file and send your feedback when you are free. I appreciate your time.,NONE,BENIGN,REAL_PUBLIC_DATA,EASY,base_ce6bc381b3,pdf_base,,
ham,Order confirmation. I completed the task and shared the latest version for review. Please reply when convenient.,NONE,BENIGN,REAL_PUBLIC_DATA,EASY,base_487c1df9fd,pdf_base,,
ham,Team discussion. Please confirm your availability for the appointment. Thanks for your help.,NONE,BENIGN,REAL_PUBLIC_DATA,EASY,base_ad09d1a93d,pdf_base,,
ham,Class notes. I completed the task and shared the latest version for review. I appreciate your time.,NONE,BENIGN,REAL_PUBLIC_DATA,EASY,base_4b0644d4e8,pdf_base,,
ham,Meeting reminder. Please confirm your availability for the appointment. Let me know if anything changes.,NONE,BENIGN,REAL_PUBLIC_DATA,EASY,base_a78344f60d,pdf_base,,
ham,Lunch plan. Let us meet after class to discuss the assignment. Let me know if anything changes.,NONE,BENIGN,REAL_PUBLIC_DATA,EASY,base_5218940fbf,pdf_base,,
ham,Team discussion. Please confirm your availability for the appointment. Let me know if anything changes.,NONE,BENIGN,REAL_PUBLIC_DATA,EASY,base_ad09d1a93d,pdf_base,,
ham,Lunch plan. Please review the file and send your feedback when you are free. Looking forward to your response.,NONE,BENIGN,REAL_PUBLIC_DATA,EASY,base_b8682e04fe,pdf_base,,
ham,Homework question. The order has been confirmed and details are attached below. Thanks for your help.,NONE,BENIGN,REAL_PUBLIC_DATA,EASY,base_5ecdebe504,pdf_base,,
ham,Class notes. Here are the notes for this week and the next steps. Looking forward to your response.,NONE,BENIGN,REAL_PUBLIC_DATA,EASY,base_6a594a0ba0,pdf_base,,
ham,Class notes. Please review the file and send your feedback when you are free. Thanks for your help.,NONE,BENIGN,REAL_PUBLIC_DATA,EASY,base_03fb4b217a,pdf_base,,
spam,"Limited time offer. Your payment failed, update your information right away. Limited availability. .",OTHER,MALICIOUS,REAL_PUBLIC_DATA,EASY,base_f4f1f38ae9,pdf_base,,
spam,Claim your prize now. Click the link to claim your reward before it expires. Last chance.,OTHER,MALICIOUS,REAL_PUBLIC_DATA,EASY,base_5079327eb5,pdf_base,,
ham,Weekly schedule. Please confirm your availability for the appointment. Please reply when convenient.,NONE,BENIGN,REAL_PUBLIC_DATA,EASY,base_f02f878224,pdf_base,,
spam,"Final notice payment needed. Please confirm your details to receive your prize. No reply is needed, act now. .",OTHER,MALICIOUS,REAL_PUBLIC_DATA,EASY,base_34d710d3c0,pdf_base,,
spam,Urgent account alert. Please confirm your details to receive your prize. Do not miss this opportunity.,OTHER,MALICIOUS,REAL_PUBLIC_DATA,EASY,base_99ae762528,pdf_base,,
spam,"Limited time offer. We detected unusual activity and need verification immediately. No reply is needed, act now. .",OTHER,MALICIOUS,REAL_PUBLIC_DATA,EASY,base_4691e159d5,pdf_base,,
ham,Appointment follow-up. Please confirm your availability for the appointment. Thanks for your help.,NONE,BENIGN,REAL_PUBLIC_DATA,EASY,base_5d5108dfeb,pdf_base,,
spam,"Free gift waiting. Your payment failed, update your information right away. Do not miss this opportunity. .",OTHER,MALICIOUS,REAL_PUBLIC_DATA,EASY,base_f658a17c3b,pdf_base,,
spam,"Final notice payment needed. This offer expires soon, so take action now. Offer ends very soon. .",OTHER,MALICIOUS,REAL_PUBLIC_DATA,EASY,base_09c5ed62a4,pdf_base,,
ham,Appointment follow-up. The order has been confirmed and details are attached below. Thanks for your help.,NONE,BENIGN,REAL_PUBLIC_DATA,EASY,base_71ba8dc99a,pdf_base,,
spam,Final notice payment needed. Please confirm your details to receive your prize. Offer ends very soon.,OTHER,MALICIOUS,REAL_PUBLIC_DATA,EASY,base_34d710d3c0,pdf_base,,
spam,Free gift waiting. Unlock premium access with this one time opportunity. Last chance.,OTHER,MALICIOUS,REAL_PUBLIC_DATA,EASY,base_ddd7b1f618,pdf_base,,
spam,Free gift waiting. You have been selected for a special bonus offer. Limited availability.,OTHER,MALICIOUS,REAL_PUBLIC_DATA,EASY,base_50244dc35b,pdf_base,,
spam,Limited time offer. Please confirm your details to receive your prize. Last chance.,OTHER,MALICIOUS,REAL_PUBLIC_DATA,EASY,base_0293897ea5,pdf_base,,
ham,Class notes. The order has been confirmed and details are attached below. Looking forward to your response.,NONE,BENIGN,REAL_PUBLIC_DATA,EASY,base_062d1de3fc,pdf_base,,
spam,"Action required immediately. Do not miss this exclusive reward, claim it today. Last chance. .",OTHER,MALICIOUS,REAL_PUBLIC_DATA,EASY,base_b9e06dbbd3,pdf_base,,
ham,Class notes. Here are the notes for this week and the next steps. Please reply when convenient.,NONE,BENIGN,REAL_PUBLIC_DATA,EASY,base_6a594a0ba0,pdf_base,,
ham,Project update. We need to finalize the timeline before Friday. Let me know if anything changes.,NONE,BENIGN,REAL_PUBLIC_DATA,EASY,base_90b995a5e7,pdf_base,,
spam,Urgent account alert. Please confirm your details to receive your prize. Limited availability.,OTHER,MALICIOUS,REAL_PUBLIC_DATA,EASY,base_99ae762528,pdf_base,,
ham,Weekly schedule. Dinner is planned for Saturday evening at home. Let me know if anything changes.,NONE,BENIGN,REAL_PUBLIC_DATA,EASY,base_39e4b8be24,pdf_base,,
spam,Limited time offer. We detected unusual activity and need verification immediately. Last chance.,OTHER,MALICIOUS,REAL_PUBLIC_DATA,EASY,base_4691e159d5,pdf_base,,
ham,Order confirmation. I completed the task and shared the latest version for review. I appreciate your time.,NONE,BENIGN,REAL_PUBLIC_DATA,EASY,base_487c1df9fd,pdf_base,,
ham,Lunch plan. The order has been confirmed and details are attached below. Looking forward to your response.,NONE,BENIGN,REAL_PUBLIC_DATA,EASY,base_2535590091,pdf_base,,
spam,"Claim your prize now. This is a limited time deal and you should act fast. No reply is needed, act now. .",OTHER,MALICIOUS,REAL_PUBLIC_DATA,EASY,base_16c5c7e683,pdf_base,,
spam,"Congratulations you won. Do not miss this exclusive reward, claim it today. Limited availability. .",OTHER,MALICIOUS,REAL_PUBLIC_DATA,EASY,base_d1c62beff6,pdf_base,,
ham,Appointment follow-up. Please review the file and send your feedback when you are free. Looking forward to your response.,NONE,BENIGN,REAL_PUBLIC_DATA,EASY,base_0212f52c75,pdf_base,,
ham,Appointment follow-up. I completed the task and shared the latest version for review. I appreciate your time.,NONE,BENIGN,REAL_PUBLIC_DATA,EASY,base_c57f79b627,pdf_base,,
spam,Verify your account today. We detected unusual activity and need verification immediately. Offer ends very soon.,OTHER,MALICIOUS,REAL_PUBLIC_DATA,EASY,base_2fa60f6d8d,pdf_base,,
ham,Order confirmation. Here are the notes for this week and the next steps. Please reply when convenient.,NONE,BENIGN,REAL_PUBLIC_DATA,EASY,base_6499f73fc6,pdf_base,,
spam,"Urgent account alert. This offer expires soon, so take action now. Offer ends very soon. .",OTHER,MALICIOUS,REAL_PUBLIC_DATA,EASY,base_486083c612,pdf_base,,
ham,Homework question. Can you check this and reply when convenient? I appreciate your time.,NONE,BENIGN,REAL_PUBLIC_DATA,EASY,base_427de17674,pdf_base,,
spam,"Congratulations you won. Do not miss this exclusive reward, claim it today. Offer ends very soon. .",OTHER,MALICIOUS,REAL_PUBLIC_DATA,EASY,base_d1c62beff6,pdf_base,,
ham,Lunch plan. The meeting is scheduled for tomorrow afternoon in the office. I appreciate your time.,NONE,BENIGN,REAL_PUBLIC_DATA,EASY,base_8fc39b3368,pdf_base,,
spam,Limited time offer. You have been selected for a special bonus offer. Do not miss this opportunity.,OTHER,MALICIOUS,REAL_PUBLIC_DATA,EASY,base_30963791f7,pdf_base,,
ham,Appointment follow-up. I completed the task and shared the latest version for review. Let me know if anything changes.,NONE,BENIGN,REAL_PUBLIC_DATA,EASY,base_c57f79b627,pdf_base,,
ham,Weekly schedule. I completed the task and shared the latest version for review. Thanks for your help.,NONE,BENIGN,REAL_PUBLIC_DATA,EASY,base_7e6b85622e,pdf_base,,
ham,Appointment follow-up. Dinner is planned for Saturday evening at home. Looking forward to your response.,NONE,BENIGN,REAL_PUBLIC_DATA,EASY,base_38d6292b48,pdf_base,,
spam,Exclusive bonus inside. You have been selected for a special bonus offer. Limited availability.,OTHER,MALICIOUS,REAL_PUBLIC_DATA,EASY,base_22bd2a2901,pdf_base,,
spam,Verify your account today. You have been selected for a special bonus offer. Last chance.,OTHER,MALICIOUS,REAL_PUBLIC_DATA,EASY,base_0c947ec57d,pdf_base,,
spam,Free gift waiting. Your account may be suspended unless you respond now. Limited availability.,OTHER,MALICIOUS,REAL_PUBLIC_DATA,EASY,base_f052ea2659,pdf_base,,
spam,Verify your account today. Unlock premium access with this one time opportunity. Last chance.,OTHER,MALICIOUS,REAL_PUBLIC_DATA,EASY,base_9e5b784cdf,pdf_base,,
ham,Meeting reminder. Can you check this and reply when convenient? Let me know if anything changes.,NONE,BENIGN,REAL_PUBLIC_DATA,EASY,base_f6db5c5a44,pdf_base,,
spam,"Claim your prize now. Your payment failed, update your information right away. Offer ends very soon. .",OTHER,MALICIOUS,REAL_PUBLIC_DATA,EASY,base_c71e42470d,pdf_base,,
spam,"Verify your account today. Do not miss this exclusive reward, claim it today. Offer ends very soon. .",OTHER,MALICIOUS,REAL_PUBLIC_DATA,EASY,base_efad615d26,pdf_base,,
spam,Limited time offer. You have been selected for a special bonus offer. Limited availability.,OTHER,MALICIOUS,REAL_PUBLIC_DATA,EASY,base_30963791f7,pdf_base,,
ham,Weekly schedule. Let us meet after class to discuss the assignment. Thanks for your help.,NONE,BENIGN,REAL_PUBLIC_DATA,EASY,base_b7aa441f7f,pdf_base,,
spam,Verify your account today. Click the link to claim your reward before it expires. Last chance.,OTHER,MALICIOUS,REAL_PUBLIC_DATA,EASY,base_f4a72ec72e,pdf_base,,
ham,Weekly schedule. Please confirm your availability for the appointment. Thanks for your help.,NONE,BENIGN,REAL_PUBLIC_DATA,EASY,base_f02f878224,pdf_base,,
ham,Weekly schedule. Please confirm your availability for the appointment. Let me know if anything changes.,NONE,BENIGN,REAL_PUBLIC_DATA,EASY,base_f02f878224,pdf_base,,
spam,"Special deal for you. Your payment failed, update your information right away. No reply is needed, act now. .",OTHER,MALICIOUS,REAL_PUBLIC_DATA,EASY,base_2c0d051737,pdf_base,,
ham,Lunch plan. The order has been confirmed and details are attached below. Let me know if anything changes.,NONE,BENIGN,REAL_PUBLIC_DATA,EASY,base_2535590091,pdf_base,,
ham,Order confirmation. Can you check this and reply when convenient? Let me know if anything changes.,NONE,BENIGN,REAL_PUBLIC_DATA,EASY,base_1efcf7c47c,pdf_base,,
spam,Exclusive bonus inside. Please confirm your details to receive your prize. Limited availability.,OTHER,MALICIOUS,REAL_PUBLIC_DATA,EASY,base_ae3135cad6,pdf_base,,
ham,Class notes. The order has been confirmed and details are attached below. I appreciate your time.,NONE,BENIGN,REAL_PUBLIC_DATA,EASY,base_062d1de3fc,pdf_base,,
ham,Order confirmation. Please review the file and send your feedback when you are free. Thanks for your help.,NONE,BENIGN,REAL_PUBLIC_DATA,EASY,base_9a32f00866,pdf_base,,
spam,Final notice payment needed. Unlock premium access with this one time opportunity. Last chance.,OTHER,MALICIOUS,REAL_PUBLIC_DATA,EASY,base_8b7614b8c9,pdf_base,,
ham,Homework question. The order has been confirmed and details are attached below. Looking forward to your response.,NONE,BENIGN,REAL_PUBLIC_DATA,EASY,base_5ecdebe504,pdf_base,,
ham,Lunch plan. Dinner is planned for Saturday evening at home. Looking forward to your response.,NONE,BENIGN,REAL_PUBLIC_DATA,EASY,base_7f62fdc729,pdf_base,,
ham,Order confirmation. Let us meet after class to discuss the assignment. Thanks for your help.,NONE,BENIGN,REAL_PUBLIC_DATA,EASY,base_b90c718c02,pdf_base,,
spam,Final notice payment needed. Unlock premium access with this one time opportunity. Do not miss this opportunity.,OTHER,MALICIOUS,REAL_PUBLIC_DATA,EASY,base_8b7614b8c9,pdf_base,,
ham,Appointment follow-up. Please review the file and send your feedback when you are free. Thanks for your help.,NONE,BENIGN,REAL_PUBLIC_DATA,EASY,base_0212f52c75,pdf_base,,
ham,Order confirmation. Can you check this and reply when convenient? Please reply when convenient.,NONE,BENIGN,REAL_PUBLIC_DATA,EASY,base_1efcf7c47c,pdf_base,,
spam,Final notice payment needed. Please confirm your details to receive your prize. Limited availability.,OTHER,MALICIOUS,REAL_PUBLIC_DATA,EASY,base_34d710d3c0,pdf_base,,
ham,Project update. Please confirm your availability for the appointment. Looking forward to your response.,NONE,BENIGN,REAL_PUBLIC_DATA,EASY,base_40d45f81ac,pdf_base,,
ham,Lunch plan. We need to finalize the timeline before Friday. Thanks for your help.,NONE,BENIGN,REAL_PUBLIC_DATA,EASY,base_e7645c7503,pdf_base,,
ham,Lunch plan. Please review the file and send your feedback when you are free. Let me know if anything changes.,NONE,BENIGN,REAL_PUBLIC_DATA,EASY,base_b8682e04fe,pdf_base,,
spam,"Congratulations you won. This offer expires soon, so take action now. No reply is needed, act now. .",OTHER,MALICIOUS,REAL_PUBLIC_DATA,EASY,base_bee4201eab,pdf_base,,
ham,Team discussion. Can you check this and reply when convenient? Thanks for your help.,NONE,BENIGN,REAL_PUBLIC_DATA,EASY,base_9ecca20bd4,pdf_base,,
spam,"Urgent account alert. Your account may be suspended unless you respond now. No reply is needed, act now. .",OTHER,MALICIOUS,REAL_PUBLIC_DATA,EASY,base_6908092505,pdf_base,,
spam,"Urgent account alert. Do not miss this exclusive reward, claim it today. Do not miss this opportunity. .",OTHER,MALICIOUS,REAL_PUBLIC_DATA,EASY,base_0ded7c7d6b,pdf_base,,
spam,"Action required immediately. Your payment failed, update your information right away. Limited availability. .",OTHER,MALICIOUS,REAL_PUBLIC_DATA,EASY,base_a4a49a4dd0,pdf_base,,
ham,Class notes. We need to finalize the timeline before Friday. I appreciate your time.,NONE,BENIGN,REAL_PUBLIC_DATA,EASY,base_2ec5190a95,pdf_base,,
spam,"Free gift waiting. Unlock premium access with this one time opportunity. No reply is needed, act now. .",OTHER,MALICIOUS,REAL_PUBLIC_DATA,EASY,base_ddd7b1f618,pdf_base,,
ham,Weekly schedule. Please review the file and send your feedback when you are free. Thanks for your help.,NONE,BENIGN,REAL_PUBLIC_DATA,EASY,base_edcf204f92,pdf_base,,
spam,"Exclusive bonus inside. This offer expires soon, so take action now. Limited availability. .",OTHER,MALICIOUS,REAL_PUBLIC_DATA,EASY,base_1ca9d81a2c,pdf_base,,
spam,"Exclusive bonus inside. Please confirm your details to receive your prize. No reply is needed, act now. .",OTHER,MALICIOUS,REAL_PUBLIC_DATA,EASY,base_ae3135cad6,pdf_base,,
spam,"Claim your prize now. Your payment failed, update your information right away. Do not miss this opportunity. .",OTHER,MALICIOUS,REAL_PUBLIC_DATA,EASY,base_c71e42470d,pdf_base,,
ham,Meeting reminder. The order has been confirmed and details are attached below. Looking forward to your response.,NONE,BENIGN,REAL_PUBLIC_DATA,EASY,base_5c73080290,pdf_base,,
spam,Exclusive bonus inside. Click the link to claim your reward before it expires. Do not miss this opportunity.,OTHER,MALICIOUS,REAL_PUBLIC_DATA,EASY,base_9742eace43,pdf_base,,
spam,"Urgent account alert. Your payment failed, update your information right away. Offer ends very soon. .",OTHER,MALICIOUS,REAL_PUBLIC_DATA,EASY,base_b04388e51b,pdf_base,,
ham,Appointment follow-up. Can you check this and reply when convenient? Thanks for your help.,NONE,BENIGN,REAL_PUBLIC_DATA,EASY,base_973dbc30a7,pdf_base,,
ham,Family plan. Please review the file and send your feedback when you are free. Let me know if anything changes.,NONE,BENIGN,REAL_PUBLIC_DATA,EASY,base_f465030c99,pdf_base,,
spam,"Exclusive bonus inside. Do not miss this exclusive reward, claim it today. Do not miss this opportunity. .",OTHER,MALICIOUS,REAL_PUBLIC_DATA,EASY,base_2e4df99311,pdf_base,,
ham,Team discussion. Here are the notes for this week and the next steps. Let me know if anything changes.,NONE,BENIGN,REAL_PUBLIC_DATA,EASY,base_571ba090b0,pdf_base,,
spam,Exclusive bonus inside. Click the link to claim your reward before it expires. Limited availability.,OTHER,MALICIOUS,REAL_PUBLIC_DATA,EASY,base_9742eace43,pdf_base,,
spam,"Free gift waiting. This offer expires soon, so take action now. Last chance. .",OTHER,MALICIOUS,REAL_PUBLIC_DATA,EASY,base_978050d4dc,pdf_base,,
spam,Congratulations you won. Click the link to claim your reward before it expires. Last chance.,OTHER,MALICIOUS,REAL_PUBLIC_DATA,EASY,base_5d252a33c7,pdf_base,,
ham,Weekly schedule. Let us meet after class to discuss the assignment. Looking forward to your response.,NONE,BENIGN,REAL_PUBLIC_DATA,EASY,base_b7aa441f7f,pdf_base,,
ham,Order confirmation. We need to finalize the timeline before Friday. Let me know if anything changes.,NONE,BENIGN,REAL_PUBLIC_DATA,EASY,base_6be5602792,pdf_base,,
