label,message
ham,Family plan. Let us meet after class to discuss the assignment. Please reply when convenient.
ham,Department Notice: Vendor Invoice Confirmation: Your vendor payment of $340.00 for lab equipment supplies has been scheduled for direct deposit on Monday. Confirmation number is 77312.
ham,Lunch plan. Let us meet after class to discuss the assignment. Please reply when convenient.
spam,"Action required immediately. This offer expires soon, so take action now. Limited availability. ."
spam,"Exclusive bonus inside. This offer expires soon, so take action now. Offer ends very soon. ."
ham,Lunch plan. The meeting is scheduled for tomorrow afternoon in the office. Looking forward to your response.
ham,Class notes. The meeting is scheduled for tomorrow afternoon in the office. I appreciate your time.
spam,Limited time offer. Your account may be suspended unless you respond now. Do not miss this opportunity.
ham,Class notes. The meeting is scheduled for tomorrow afternoon in the office. Thanks for your help.
ham,Project update. We need to finalize the timeline before Friday. Thanks for your help.
ham,Meeting reminder. Can you check this and reply when convenient? I appreciate your time.
spam,"Exclusive bonus inside. This offer expires soon, so take action now. Do not miss this opportunity. ."
ham,Family plan. Can you check this and reply when convenient? Looking forward to your response.
spam,Urgent account alert. Please confirm your details to receive your prize. Limited availability.
ham,IT Security Notice: Your university single sign-on password will expire in 5 days. Please update your credentials through the internal intranet portal. Do not share your password with anyone.
spam,"Special deal for you. Do not miss this exclusive reward, claim it today. Do not miss this opportunity. ."
spam,"Free gift waiting. Your account may be suspended unless you respond now. No reply is needed, act now. ."
spam,Claim your prize now. We detected unusual activity and need verification immediately. Limited availability.
ham,Homework question. Can you check this and reply when convenient? Thanks for your help.
spam,Verify your account today. Please confirm your details to receive your prize. Offer ends very soon.
spam,Action required immediately. This is a limited time deal and you should act fast. Last chance.
spam,"Special deal for you. You have been selected for a special bonus offer. No reply is needed, act now. ."
spam,Free gift waiting. Your account may be suspended unless you respond now. Limited availability.
spam,Final notice payment needed. Your account may be suspended unless you respond now. Limited availability.
ham,Class notes. Dinner is planned for Saturday evening at home. Thanks for your help.
ham,Weekly schedule. We need to finalize the timeline before Friday. Looking forward to your response.
spam,Limited time offer. Unlock premium access with this one time opportunity. Limited availability.
ham,Health Insurance Claim Status: Your claim for the medical consultation on Sept 14 has been processed. Claim statement is available on the student wellness portal. Thank you for your cooperation.
ham,Department Notice: Urgent Action Required: Please submit your signed internship verification form to the department office by 4 PM today to avoid grading delays.
spam,Special deal for you. Please confirm your details to receive your prize. Last chance.
ham,Meeting reminder. Dinner is planned for Saturday evening at home. Please reply when convenient.
spam,Claim your prize now. Please confirm your details to receive your prize. Limited availability.
ham,Homework question. I completed the task and shared the latest version for review. Looking forward to your response.
spam,"Congratulations you won. This offer expires soon, so take action now. Last chance. ."
spam,"Congratulations you won. Your account may be suspended unless you respond now. No reply is needed, act now. ."
ham,Class notes. Here are the notes for this week and the next steps. Looking forward to your response.
spam,Claim your prize now. Please confirm your details to receive your prize. Limited availability.
ham,Meeting reminder. We need to finalize the timeline before Friday. Let me know if anything changes.
spam,"Urgent account alert. Your payment failed, update your information right away. Offer ends very soon. ."
spam,Congratulations you won. Click the link to claim your reward before it expires. Do not miss this opportunity.
spam,Congratulations you won. Unlock premium access with this one time opportunity. Offer ends very soon.
ham,IT Security Notice: Your university single sign-on password will expire in 5 days. Please update your credentials through the internal intranet portal. Do not share your password with anyone. Thank you for your cooperation.
spam,"Free gift waiting. Click the link to claim your reward before it expires. No reply is needed, act now. ."
ham,Lunch plan. The meeting is scheduled for tomorrow afternoon in the office. I appreciate your time.
ham,Meeting reminder. I completed the task and shared the latest version for review. Looking forward to your response.
ham,Class notes. The order has been confirmed and details are attached below. I appreciate your time.
ham,Conference Ticket Confirmed: Your booking confirmation for PyCon 2026 is complete. Please verify your dietary preferences and print your badge before attending. Thank you for your cooperation.
ham,"Lost and Found Claim: A black backpack was turned in to campus security. If this is yours, you can claim your property at the student center security desk with valid ID."
spam,Action required immediately. We detected unusual activity and need verification immediately. Limited availability.
ham,Urgent Action Required: Please submit your signed internship verification form to the department office by 4 PM today to avoid grading delays. Thank you for your cooperation.
spam,Special deal for you. You have been selected for a special bonus offer. Offer ends very soon.
spam,Action required immediately. This is a limited time deal and you should act fast. Last chance.
ham,Lunch plan. Please review the file and send your feedback when you are free. Let me know if anything changes.
ham,Conference Ticket Confirmed: Your booking confirmation for PyCon 2026 is complete. Please verify your dietary preferences and print your badge before attending.
spam,"Congratulations you won. This offer expires soon, so take action now. Last chance. ."
spam,"Special deal for you. Your payment failed, update your information right away. No reply is needed, act now. ."
ham,Meeting reminder. Please review the file and send your feedback when you are free. Thanks for your help.
spam,"Free gift waiting. This offer expires soon, so take action now. Limited availability. ."
ham,Appointment follow-up. Here are the notes for this week and the next steps. Looking forward to your response.
ham,Project update. Here are the notes for this week and the next steps. I appreciate your time.
ham,Department Notice: Conference Ticket Confirmed: Your booking confirmation for PyCon 2026 is complete. Please verify your dietary preferences and print your badge before attending.
ham,Class notes. Dinner is planned for Saturday evening at home. Please reply when convenient.
ham,Meeting reminder. Dinner is planned for Saturday evening at home. Looking forward to your response.
ham,Project update. I completed the task and shared the latest version for review. Looking forward to your response.
ham,Homework question. Dinner is planned for Saturday evening at home. Looking forward to your response.
spam,Exclusive bonus inside. This is a limited time deal and you should act fast. Limited availability.
spam,Urgent account alert. You have been selected for a special bonus offer. Do not miss this opportunity.
ham,Urgent Lab Notice: All students must back up their project code from the lab workstations before Friday maintenance when machines will be formatted.
ham,Lunch plan. Dinner is planned for Saturday evening at home. I appreciate your time.
spam,"Congratulations you won. Click the link to claim your reward before it expires. No reply is needed, act now. ."
ham,Lab Seat Confirmation: Your reservation for the High Performance Computing Lab has been confirmed for Tuesday morning. Let us know if you need to reschedule. Thank you for your cooperation.
spam,Exclusive bonus inside. You have been selected for a special bonus offer. Do not miss this opportunity.
ham,Project update. I completed the task and shared the latest version for review. Please reply when convenient.
spam,Final notice payment needed. Click the link to claim your reward before it expires. Do not miss this opportunity.
ham,Appointment follow-up. We need to finalize the timeline before Friday. I appreciate your time.
ham,Project update. Can you check this and reply when convenient? Looking forward to your response.
ham,"Security Alert: A new login to your student account was detected from Chrome on Windows. If this was you, please verify your session in account settings. We will never ask you to email your password or OTP. Thank you for your cooperation."
spam,"Claim your prize now. Do not miss this exclusive reward, claim it today. Do not miss this opportunity. ."
ham,Weekly schedule. The meeting is scheduled for tomorrow afternoon in the office. I appreciate your time.
ham,Family plan. The meeting is scheduled for tomorrow afternoon in the office. Let me know if anything changes.
ham,"Google Account Security: We noticed a new sign-in from a new device. If this was not you, check your recent security activity and verify your account recovery options."
ham,Appointment follow-up. Dinner is planned for Saturday evening at home. I appreciate your time.
ham,Team discussion. Can you check this and reply when convenient? I appreciate your time.
spam,Verify your account today. We detected unusual activity and need verification immediately. Offer ends very soon.
ham,Project Selection Notification: Your team has been selected to present the final year capstone project at the college innovation expo. Please confirm your project poster dimensions.
spam,Special deal for you. Unlock premium access with this one time opportunity. Limited availability.
spam,"Limited time offer. Please confirm your details to receive your prize. No reply is needed, act now. ."
ham,Project update. Please review the file and send your feedback when you are free. Let me know if anything changes.
ham,Workshop Registration: Confirmation of your seat in the Python & Data Science Bootcamp. Free admission for university students. Bring your laptop and student ID. Thank you for your cooperation.
ham,"Two-Factor Authentication: Your verification code is 492015. This code expires in 10 minutes. For your security, never provide this code to anyone over phone or email. Thank you for your cooperation."
spam,Action required immediately. Your account may be suspended unless you respond now. Last chance.
spam,Final notice payment needed. This is a limited time deal and you should act fast. Limited availability.
spam,"Free gift waiting. This offer expires soon, so take action now. Limited availability. ."
ham,Office Hours Limited Notice: Professor office hours will be limited to 1 hour this Thursday due to the faculty senate meeting. Please book a slot in advance.
ham,Order confirmation. Let us meet after class to discuss the assignment. Thanks for your help.
ham,Lunch plan. Please review the file and send your feedback when you are free. Please reply when convenient.
ham,Lunch plan. Please confirm your availability for the appointment. Thanks for your help.
ham,Appointment follow-up. Please review the file and send your feedback when you are free. I appreciate your time.
ham,Limited Time Library Access: Extended night study hours at the science library are available for a limited time during final examination week.
spam,Final notice payment needed. This is a limited time deal and you should act fast. Limited availability.
spam,"Congratulations you won. Do not miss this exclusive reward, claim it today. Do not miss this opportunity. ."
spam,Action required immediately. Unlock premium access with this one time opportunity. Offer ends very soon.
spam,"Claim your prize now. Do not miss this exclusive reward, claim it today. Offer ends very soon. ."
ham,Class notes. We need to finalize the timeline before Friday. Please reply when convenient.
ham,Project update. We need to finalize the timeline before Friday. Let me know if anything changes.
ham,Family plan. Please review the file and send your feedback when you are free. I appreciate your time.
ham,Project update. Please confirm your availability for the appointment. Looking forward to your response.
spam,Urgent account alert. Please confirm your details to receive your prize. Do not miss this opportunity.
ham,Meeting reminder. Dinner is planned for Saturday evening at home. I appreciate your time.
ham,Class notes. Can you check this and reply when convenient? I appreciate your time.
ham,Meeting reminder. We need to finalize the timeline before Friday. I appreciate your time.
ham,Department Notice: Payment Received: Thank you for your payment towards the annual department library dues. The account statement is now up to date. Reply if you need a printed receipt.
ham,Limited Time Library Access: Extended night study hours at the science library are available for a limited time during final examination week.
ham,Lunch plan. Please confirm your availability for the appointment. Looking forward to your response.
ham,"Limited Seats Available: Registration for the Deep Learning Hands-on Workshop is now open. Seats are limited to 40 participants on a first-come, first-served basis. Thank you for your cooperation."
spam,"Exclusive bonus inside. Do not miss this exclusive reward, claim it today. No reply is needed, act now. ."
ham,Department Notice: Urgent Lab Notice: All students must back up their project code from the lab workstations before Friday maintenance when machines will be formatted.
spam,Action required immediately. Please confirm your details to receive your prize. Offer ends very soon.
ham,Health Insurance Claim Status: Your claim for the medical consultation on Sept 14 has been processed. Claim statement is available on the student wellness portal.
spam,"Claim your prize now. Your payment failed, update your information right away. Last chance. ."
ham,Warranty Claim Confirmation: Your replacement battery request has been verified and shipped under warranty. No payment is required for this replacement. Thank you for your cooperation.
spam,"Free gift waiting. Your payment failed, update your information right away. Offer ends very soon. ."
ham,Department Notice: Registration Confirmation: You are registered for CS402 Machine Learning for the Fall semester. Verify your class schedule on the portal before Friday.
ham,Meeting reminder. Let us meet after class to discuss the assignment. Please reply when convenient.
spam,"Final notice payment needed. Do not miss this exclusive reward, claim it today. Limited availability. ."
spam,Limited time offer. You have been selected for a special bonus offer. Do not miss this opportunity.
spam,Verify your account today. Unlock premium access with this one time opportunity. Limited availability.
ham,Department Notice: Lab Seat Confirmation: Your reservation for the High Performance Computing Lab has been confirmed for Tuesday morning. Let us know if you need to reschedule.
spam,Exclusive bonus inside. We detected unusual activity and need verification immediately. Last chance.
spam,"Special deal for you. Your payment failed, update your information right away. Limited availability. ."
ham,Weekly schedule. Here are the notes for this week and the next steps. Please reply when convenient.
ham,Lunch plan. The order has been confirmed and details are attached below. Let me know if anything changes.
ham,Meeting reminder. Let us meet after class to discuss the assignment. Thanks for your help.
ham,Department Notice: Appointment Confirmation: Your appointment with Dr. Sharma has been confirmed for tomorrow at 3:30 PM. Please arrive 10 minutes early to verify insurance details.
ham,Team discussion. Dinner is planned for Saturday evening at home. Thanks for your help.
spam,Action required immediately. Please confirm your details to receive your prize. Limited availability.
ham,Department Notice: Urgent Action Required: Please submit your signed internship verification form to the department office by 4 PM today to avoid grading delays.
spam,Action required immediately. We detected unusual activity and need verification immediately. Last chance.
spam,"Claim your prize now. This offer expires soon, so take action now. Offer ends very soon. ."
ham,Exam Schedule Urgent Update: The venue for the Operating Systems midterm exam has been moved from Hall A to Room 304. Please inform your classmates.
spam,"Action required immediately. This offer expires soon, so take action now. Last chance. ."
spam,"Congratulations you won. This offer expires soon, so take action now. Last chance. ."
spam,"Verify your account today. This offer expires soon, so take action now. Offer ends very soon. ."
spam,Congratulations you won. Unlock premium access with this one time opportunity. Limited availability.
ham,Department Notice: Exam Schedule Urgent Update: The venue for the Operating Systems midterm exam has been moved from Hall A to Room 304. Please inform your classmates.
spam,"Urgent account alert. Unlock premium access with this one time opportunity. No reply is needed, act now. ."
spam,"Final notice payment needed. Do not miss this exclusive reward, claim it today. Offer ends very soon. ."
ham,Family plan. Here are the notes for this week and the next steps. Let me know if anything changes.
ham,Weekly schedule. Please review the file and send your feedback when you are free. Let me know if anything changes.
spam,Special deal for you. This is a limited time deal and you should act fast. Offer ends very soon.
ham,"Payment Confirmation: Your tuition fee payment of $1,250.00 has been processed successfully. Transaction ID: TXN-89214. The official invoice receipt is attached for your records."
ham,Team discussion. Please review the file and send your feedback when you are free. Looking forward to your response.
ham,Team discussion. I completed the task and shared the latest version for review. Please reply when convenient.
ham,Order confirmation. I completed the task and shared the latest version for review. Looking forward to your response.
spam,Action required immediately. Your account may be suspended unless you respond now. Limited availability.
ham,Weekly schedule. Can you check this and reply when convenient? Let me know if anything changes.
spam,Free gift waiting. We detected unusual activity and need verification immediately. Do not miss this opportunity.
ham,Campus Wi-Fi Security Notice: Please reinstall the eduroam security certificate before the semester starts to maintain secure wireless network access.
spam,Special deal for you. Please confirm your details to receive your prize. Offer ends very soon.
ham,Urgent Notice: The campus library will close early today at 5 PM due to severe weather conditions. All borrowed materials due today will be automatically renewed. Thank you for your cooperation.
spam,Free gift waiting. You have been selected for a special bonus offer. Offer ends very soon.
ham,Department Notice: Project Selection Notification: Your team has been selected to present the final year capstone project at the college innovation expo. Please confirm your project poster dimensions.
ham,Lunch plan. Here are the notes for this week and the next steps. Please reply when convenient.
ham,Department Notice: Club Selection Results: Congratulations! You have been selected as a core coordinator for the Robotics Student Chapter. Our first planning meeting is this Wednesday evening.
ham,Meeting reminder. Please review the file and send your feedback when you are free. Let me know if anything changes.
ham,Urgent Notice: The campus library will close early today at 5 PM due to severe weather conditions. All borrowed materials due today will be automatically renewed. Thank you for your cooperation.
spam,"Free gift waiting. Your account may be suspended unless you respond now. No reply is needed, act now. ."
ham,Team discussion. We need to finalize the timeline before Friday. Please reply when convenient.
spam,"Special deal for you. Please confirm your details to receive your prize. No reply is needed, act now. ."
ham,Meeting reminder. Let us meet after class to discuss the assignment. Let me know if anything changes.
ham,"Payment Confirmation: Your tuition fee payment of $1,250.00 has been processed successfully. Transaction ID: TXN-89214. The official invoice receipt is attached for your records. Thank you for your cooperation."
ham,Campus Wi-Fi Security Notice: Please reinstall the eduroam security certificate before the semester starts to maintain secure wireless network access. Thank you for your cooperation.
spam,Action required immediately. You have been selected for a special bonus offer. Offer ends very soon.
ham,Health Insurance Claim Status: Your claim for the medical consultation on Sept 14 has been processed. Claim statement is available on the student wellness portal. Thank you for your cooperation.
spam,Special deal for you. We detected unusual activity and need verification immediately. Last chance.
spam,Final notice payment needed. You have been selected for a special bonus offer. Last chance.
spam,Verify your account today. Unlock premium access with this one time opportunity. Limited availability.
spam,Congratulations you won. Click the link to claim your reward before it expires. Offer ends very soon.
ham,Homework question. The order has been confirmed and details are attached below. Please reply when convenient.
ham,Order & Payment Receipt: We have received your payment for the textbooks order #58210. Your order has been confirmed and estimated delivery is Thursday. No further payment needed.
ham,Office Hours Limited Notice: Professor office hours will be limited to 1 hour this Thursday due to the faculty senate meeting. Please book a slot in advance.
ham,Order confirmation. The order has been confirmed and details are attached below. Please reply when convenient.
spam,Claim your prize now. Unlock premium access with this one time opportunity. Offer ends very soon.
ham,Warranty Claim Confirmation: Your replacement battery request has been verified and shipped under warranty. No payment is required for this replacement. Thank you for your cooperation.
spam,Claim your prize now. Unlock premium access with this one time opportunity. Last chance.
ham,Expense Claim Approved: Your travel reimbursement claim #CLM-401 for attending the conference has been verified and approved by the finance department.
ham,Event Registration Confirmation: Your registration for the National Science Symposium has been confirmed. Please claim your attendee badge and kit at the registration desk upon arrival. Thank you for your cooperation.
ham,Project update. Here are the notes for this week and the next steps. Looking forward to your response.
ham,Department Notice: Vendor Invoice Confirmation: Your vendor payment of $340.00 for lab equipment supplies has been scheduled for direct deposit on Monday. Confirmation number is 77312.
ham,Family plan. Here are the notes for this week and the next steps. Thanks for your help.
ham,Order confirmation. We need to finalize the timeline before Friday. Thanks for your help.
spam,Exclusive bonus inside. Please confirm your details to receive your prize. Do not miss this opportunity.
spam,Action required immediately. Your account may be suspended unless you respond now. Do not miss this opportunity.
ham,"Security Alert: A new login to your student account was detected from Chrome on Windows. If this was you, please verify your session in account settings. We will never ask you to email your password or OTP."
spam,"Verify your account today. Do not miss this exclusive reward, claim it today. Last chance. ."
spam,"Limited time offer. This offer expires soon, so take action now. Do not miss this opportunity. ."
ham,Homework question. Let us meet after class to discuss the assignment. Please reply when convenient.
spam,"Free gift waiting. This is a limited time deal and you should act fast. No reply is needed, act now. ."
spam,Final notice payment needed. Please confirm your details to receive your prize. Last chance.
ham,Meeting reminder. The order has been confirmed and details are attached below. Thanks for your help.
spam,"Limited time offer. Your account may be suspended unless you respond now. No reply is needed, act now. ."
ham,Project update. Please review the file and send your feedback when you are free. Looking forward to your response.
ham,Project update. The order has been confirmed and details are attached below. Thanks for your help.
spam,Urgent account alert. We detected unusual activity and need verification immediately. Offer ends very soon.
ham,Homework question. The meeting is scheduled for tomorrow afternoon in the office. Thanks for your help.
ham,Department Notice: Project Selection Notification: Your team has been selected to present the final year capstone project at the college innovation expo. Please confirm your project poster dimensions.
ham,Lunch plan. The meeting is scheduled for tomorrow afternoon in the office. Please reply when convenient.
ham,Family plan. Here are the notes for this week and the next steps. Please reply when convenient.
spam,Urgent account alert. We detected unusual activity and need verification immediately. Last chance.
ham,Limited Availability: The department has 10 complimentary student passes available for the tech summit. Reply to this email if you would like to attend. Thank you for your cooperation.
ham,Limited Availability: The department has 10 complimentary student passes available for the tech summit. Reply to this email if you would like to attend. Thank you for your cooperation.
ham,Family plan. We need to finalize the timeline before Friday. I appreciate your time.
spam,"Final notice payment needed. This offer expires soon, so take action now. Limited availability. ."
spam,Congratulations you won. This is a limited time deal and you should act fast. Last chance.
spam,Verify your account today. Click the link to claim your reward before it expires. Limited availability.
spam,Free gift waiting. This is a limited time deal and you should act fast. Do not miss this opportunity.
ham,Order confirmation. The meeting is scheduled for tomorrow afternoon in the office. I appreciate your time.
spam,Claim your prize now. Unlock premium access with this one time opportunity. Last chance.
ham,Lunch plan. Here are the notes for this week and the next steps. Thanks for your help.
spam,Action required immediately. Please confirm your details to receive your prize. Limited availability.
spam,"Free gift waiting. Click the link to claim your reward before it expires. No reply is needed, act now. ."
spam,Action required immediately. You have been selected for a special bonus offer. Do not miss this opportunity.
spam,"Final notice payment needed. Click the link to claim your reward before it expires. No reply is needed, act now. ."
spam,Congratulations you won. Please confirm your details to receive your prize. Offer ends very soon.
spam,"Urgent account alert. This offer expires soon, so take action now. Offer ends very soon. ."
ham,Appointment follow-up. I completed the task and shared the latest version for review. I appreciate your time.
spam,Exclusive bonus inside. Your account may be suspended unless you respond now. Do not miss this opportunity.
ham,Homework question. The order has been confirmed and details are attached below. Thanks for your help.
ham,Class notes. I completed the task and shared the latest version for review. Let me know if anything changes.
ham,Class notes. We need to finalize the timeline before Friday. Looking forward to your response.
spam,Special deal for you. Click the link to claim your reward before it expires. Do not miss this opportunity.
ham,Class notes. The order has been confirmed and details are attached below. Thanks for your help.
spam,Verify your account today. Unlock premium access with this one time opportunity. Offer ends very soon.
ham,Meeting reminder. We need to finalize the timeline before Friday. Thanks for your help.
spam,Exclusive bonus inside. Your account may be suspended unless you respond now. Do not miss this opportunity.
ham,Security Team Advisory: Phishing warning: please be cautious of suspicious emails asking for credentials. Legitimate staff will never ask for your verification code or bank details. Thank you for your cooperation.
spam,"Claim your prize now. Click the link to claim your reward before it expires. No reply is needed, act now. ."
spam,Limited time offer. We detected unusual activity and need verification immediately. Limited availability.
ham,Department Notice: IT Security Notice: Your university single sign-on password will expire in 5 days. Please update your credentials through the internal intranet portal. Do not share your password with anyone.
ham,"Department Notice: Google Account Security: We noticed a new sign-in from a new device. If this was not you, check your recent security activity and verify your account recovery options."
ham,Urgent Notice: The campus library will close early today at 5 PM due to severe weather conditions. All borrowed materials due today will be automatically renewed.
spam,Action required immediately. Your account may be suspended unless you respond now. Offer ends very soon.
spam,"Special deal for you. You have been selected for a special bonus offer. No reply is needed, act now. ."
ham,Lunch plan. I completed the task and shared the latest version for review. Please reply when convenient.
ham,Homework question. I completed the task and shared the latest version for review. Please reply when convenient.
ham,Order confirmation. Here are the notes for this week and the next steps. I appreciate your time.
spam,"Action required immediately. This offer expires soon, so take action now. Last chance. ."
spam,"Verify your account today. This is a limited time deal and you should act fast. No reply is needed, act now. ."
spam,Exclusive bonus inside. You have been selected for a special bonus offer. Limited availability.
ham,Appointment follow-up. We need to finalize the timeline before Friday. Let me know if anything changes.
ham,Congratulations! You have been selected for the Summer Research Internship in the AI Laboratory. Please attend the orientation meeting tomorrow at 11 AM to meet your mentor.
spam,"Special deal for you. Do not miss this exclusive reward, claim it today. Do not miss this opportunity. ."
spam,Special deal for you. Click the link to claim your reward before it expires. Limited availability.
spam,Verify your account today. This is a limited time deal and you should act fast. Do not miss this opportunity.
ham,Limited Time Library Access: Extended night study hours at the science library are available for a limited time during final examination week. Thank you for your cooperation.
spam,"Congratulations you won. Your payment failed, update your information right away. Limited availability. ."
ham,"Department Notice: Two-Factor Authentication: Your verification code is 492015. This code expires in 10 minutes. For your security, never provide this code to anyone over phone or email."
spam,"Free gift waiting. This is a limited time deal and you should act fast. No reply is needed, act now. ."
spam,Congratulations you won. Click the link to claim your reward before it expires. Limited availability.
spam,"Urgent account alert. Your account may be suspended unless you respond now. No reply is needed, act now. ."
spam,Special deal for you. This is a limited time deal and you should act fast. Limited availability.
spam,Claim your prize now. We detected unusual activity and need verification immediately. Last chance.
spam,Claim your prize now. We detected unusual activity and need verification immediately. Offer ends very soon.
ham,Vendor Invoice Confirmation: Your vendor payment of $340.00 for lab equipment supplies has been scheduled for direct deposit on Monday. Confirmation number is 77312. Thank you for your cooperation.
ham,Appointment follow-up. The meeting is scheduled for tomorrow afternoon in the office. Thanks for your help.
ham,Project update. Please confirm your availability for the appointment. Thanks for your help.
ham,Appointment follow-up. We need to finalize the timeline before Friday. Thanks for your help.
ham,Expense Claim Approved: Your travel reimbursement claim #CLM-401 for attending the conference has been verified and approved by the finance department. Thank you for your cooperation.
spam,"Exclusive bonus inside. Do not miss this exclusive reward, claim it today. No reply is needed, act now. ."
